,C_YEAR,C_MNTH,C_WDAY,C_HOUR,C_SEV,C_VEHS,C_CONF,C_RCFG,C_WTHR,C_RSUR,C_RALN,C_TRAF,V_ID,V_TYPE,V_YEAR,P_ID,P_SEX,P_AGE,P_PSN,P_ISEV,P_SAFE,P_USER
195,7,4,0,7,0,1,15,1,0,0,0,2,1,9,59,1,1,34,1,3,1,5
196,0,10,5,1,1,2,6,1,0,0,0,16,2,1,53,1,1,28,1,2,2,1
197,11,11,0,6,1,2,13,1,3,9,0,0,1,1,62,1,2,39,1,2,2,1
198,0,8,5,18,1,1,7,0,0,0,0,16,1,1,44,1,2,55,1,2,2,1
199,9,11,3,7,1,1,13,1,0,0,0,0,1,1,56,1,1,63,1,2,2,1
200,4,6,6,3,1,1,7,0,0,0,0,16,1,1,53,2,2,21,6,2,2,2
201,4,5,1,16,1,1,6,1,0,0,0,2,1,1,55,1,2,43,1,2,2,1
202,15,10,6,20,1,0,2,7,2,1,2,16,0,1,52,1,1,19,1,2,2,1
203,6,10,5,13,1,1,18,1,0,0,0,0,1,1,50,3,1,23,4,1,2,2
204,3,5,5,22,1,1,6,1,2,1,0,0,1,1,55,1,1,38,1,2,2,1
205,0,6,1,15,1,1,15,1,0,0,0,0,1,1,44,4,1,21,6,2,2,2
206,13,4,3,11,1,1,6,0,0,0,0,16,1,1,60,1,1,60,1,0,0,1
207,6,5,1,21,1,1,18,0,0,0,0,16,25,0,0,1,2,40,13,2,0,3
208,1,5,6,18,1,1,6,1,0,0,0,16,0,1,51,1,2,17,1,1,2,1
209,0,11,0,20,1,1,11,0,3,9,2,16,1,1,49,3,2,25,1,2,2,1
210,1,10,4,20,1,1,7,0,0,0,1,16,0,1,54,1,1,18,1,1,0,0
211,11,8,6,17,1,1,15,1,0,0,0,16,1,1,60,3,1,17,6,1,2,2
212,15,0,6,10,1,1,12,0,0,9,0,16,1,1,58,1,1,70,1,1,2,1
213,6,10,4,8,1,0,3,10,2,1,3,16,0,1,50,1,1,24,1,2,2,1
214,10,7,5,17,1,4,6,0,0,0,0,16,1,1,53,1,1,34,1,0,0,1
215,8,3,0,13,1,1,6,1,2,1,0,0,1,1,60,1,1,39,1,2,2,1
216,8,8,1,10,1,1,6,0,0,0,0,16,1,1,55,1,1,29,1,2,2,1
217,3,4,3,13,1,1,6,1,1,0,0,0,1,1,49,1,1,66,1,0,0,1
218,2,7,5,17,1,1,6,1,0,1,0,0,0,3,54,2,1,22,3,1,2,2
219,4,8,5,19,1,1,6,2,0,0,0,16,1,1,58,1,1,47,1,1,0,1
220,8,1,4,15,1,1,6,0,0,0,0,12,0,1,57,1,1,47,1,2,2,1
221,12,7,5,19,1,1,7,2,0,0,0,0,0,1,56,2,1,21,3,1,2,2
222,10,2,3,14,1,2,6,1,0,0,0,0,1,1,55,1,2,82,1,2,2,1
223,2,3,2,15,1,0,1,0,0,1,3,16,0,1,45,1,2,36,1,1,2,1
224,3,4,5,17,1,1,6,0,2,1,2,16,0,1,48,1,1,38,1,1,2,1
225,1,7,6,0,1,1,17,1,0,0,0,16,0,1,39,2,2,08,3,2,2,2
226,11,6,4,16,1,2,15,2,0,0,0,16,1,1,63,1,1,32,1,2,2,1
227,5,0,5,10,1,1,5,0,0,0,0,16,1,1,57,2,1,49,3,2,2,2
228,12,5,5,16,1,1,6,0,0,0,2,16,0,1,52,1,1,18,1,1,2,1
229,12,8,5,13,1,1,13,1,0,0,0,0,0,1,61,3,1,16,6,1,2,2
230,12,6,1,17,1,1,15,1,0,0,0,2,0,1,55,1,2,88,1,2,2,1
231,14,6,1,14,1,1,16,1,0,0,1,0,1,1,51,1,1,40,1,2,2,1
232,13,2,0,13,1,1,18,0,0,0,0,16,1,1,57,1,1,40,1,2,2,1
233,11,0,3,15,1,1,16,1,0,0,0,0,0,1,53,2,2,42,3,2,2,2
234,6,9,2,16,1,1,13,0,0,0,0,0,0,1,49,1,2,68,1,1,2,1
235,7,10,4,2,1,0,5,0,3,2,0,16,0,1,60,3,1,01,5,2,2,2
236,14,6,4,19,1,3,6,0,0,0,0,17,2,1,65,1,1,47,1,1,2,0
237,1,5,0,16,1,1,6,1,0,0,0,0,1,1,49,1,1,72,1,2,2,1
238,1,11,4,20,1,0,1,1,1,1,0,0,0,1,49,2,2,47,3,1,2,2
239,7,7,3,18,1,1,13,1,0,0,0,0,0,1,55,1,2,44,1,1,2,1
240,11,10,4,9,1,1,15,1,0,4,0,16,0,1,51,1,1,18,1,2,2,0
241,11,9,0,18,1,1,6,1,2,1,0,16,25,0,0,1,1,44,13,2,0,3
